lno	jno	ldate	uno
1	1	2025-09-01	1
2	238	2025-09-01	87
3	88	2025-09-01	73
4	323	2025-09-01	98
5	2	2025-09-02	1
6	77	2025-09-02	91
7	106	2025-09-02	32
8	271	2025-09-02	74
9	5	2025-09-03	1
10	155	2025-09-03	97
11	407	2025-09-03	60
12	295	2025-09-03	89
13	3	2025-09-04	1
14	320	2025-09-04	17
15	41	2025-09-04	71
16	244	2025-09-04	30
17	31	2025-09-05	1
18	14	2025-09-05	41
19	228	2025-09-05	13
20	180	2025-09-05	77
21	6	2025-09-06	1
22	470	2025-09-06	2
23	457	2025-09-06	84
24	347	2025-09-06	26
25	9	2025-09-07	1
26	91	2025-09-07	22
27	419	2025-09-07	33
28	194	2025-09-07	62
29	216	2025-09-07	27
30	421	2025-09-07	9
31	311	2025-09-07	39
32	10	2025-09-08	1
33	493	2025-09-08	80
34	455	2025-09-08	31
35	324	2025-09-08	35
36	319	2025-09-08	88
37	491	2025-09-08	29
38	484	2025-09-08	37
39	15	2025-09-09	1
40	116	2025-09-09	44
41	136	2025-09-09	11
42	11	2025-09-09	93
43	473	2025-09-09	14
44	168	2025-09-09	8
45	326	2025-09-09	53
46	24	2025-09-10	1
47	431	2025-09-10	42
48	12	2025-09-10	58
49	279	2025-09-10	90
50	242	2025-09-10	76
51	57	2025-09-10	40
52	462	2025-09-10	56
53	468	2025-09-11	55
54	274	2025-09-11	6
55	264	2025-09-11	45
56	120	2025-09-12	15
57	480	2025-09-12	86
58	97	2025-09-12	94
59	19	2025-09-13	63
60	283	2025-09-13	70
61	187	2025-09-13	66
62	447	2025-09-14	28
63	373	2025-09-14	10
64	176	2025-09-14	4
65	5	2025-09-15	100
66	199	2025-09-15	48
67	375	2025-09-15	23
68	189	2025-09-16	72
69	132	2025-09-16	99
70	401	2025-09-16	25
71	208	2025-09-16	16
72	56	2025-09-16	34
73	337	2025-09-17	83
74	298	2025-09-17	5
75	152	2025-09-17	95
76	133	2025-09-17	96
77	215	2025-09-18	24
78	81	2025-09-18	3
79	260	2025-09-18	92
80	295	2025-09-18	49
81	173	2025-09-19	69
82	124	2025-09-19	38
83	139	2025-09-19	85
84	267	2025-09-19	65
85	161	2025-09-20	64
86	354	2025-09-20	18
87	387	2025-09-20	59
88	251	2025-09-20	20
89	24	2025-09-20	68
90	489	2025-09-20	46
91	397	2025-09-20	52
92	145	2025-09-20	67
93	353	2025-09-21	21
94	159	2025-09-21	36
95	101	2025-09-21	12
96	3	2025-09-21	19
97	169	2025-09-21	79
98	385	2025-09-21	7
99	125	2025-09-21	57
100	206	2025-09-21	50
