ctno	uno	pno	quantity
1	3	98	1
2	10	23	1
3	10	46	2
4	27	130	5
5	13	72	1
6	29	42	1
7	19	5	2
8	3	199	1
9	9	127	5
10	28	137	1
11	23	137	4
12	24	150	3
13	27	48	1
14	2	91	1
15	10	191	3
16	12	145	4
17	24	148	5
18	2	193	4
19	2	184	2
20	20	195	3
21	28	174	5
22	16	173	2
23	1	137	2
24	16	131	2
25	13	140	3
26	24	149	3
27	14	174	3
28	12	143	4
29	22	200	4
30	2	196	3
31	30	68	4
32	19	134	2
33	16	72	2
34	21	160	3
35	29	186	2
36	24	192	1
37	17	99	3
38	27	192	1
39	23	103	4
40	15	127	5
41	30	66	2
42	10	136	4
43	3	103	3
44	15	124	2
45	13	70	3
46	29	108	3
47	15	167	4
48	16	35	3
49	13	56	1
50	27	175	4
51	14	76	5
52	13	87	2
53	13	67	1
54	18	47	1
55	23	191	2
56	18	42	4
57	6	128	1
58	26	124	4
59	5	72	1
60	7	100	4
61	30	55	5
62	28	159	1
63	26	94	2
64	1	116	2
65	17	68	4
66	28	45	3
67	16	139	3
68	16	86	4
69	11	115	2
70	2	33	2
71	6	17	3
72	2	7	3
73	29	161	3
74	13	66	3
75	12	91	5
76	24	88	4
77	11	110	5
78	30	66	5
79	20	160	1
80	30	119	2
81	2	165	4
82	8	180	2
83	25	140	1
84	25	132	1
85	18	190	3
86	19	171	1
87	7	61	4
88	28	17	1
89	9	116	4
90	19	60	4
91	24	114	1
92	10	110	1
93	25	58	2
94	27	130	3
95	11	37	5
96	6	53	4
97	25	117	2
98	6	117	3
99	21	32	5
100	14	83	1
