ono	uno	pno	quantity	date	pay	delivery
1	19	52	9	2025-09-01	1	3
2	19	57	9	2025-09-01	1	3
3	11	143	8	2025-09-01	1	3
4	23	33	6	2025-09-01	1	3
5	25	122	3	2025-09-01	1	3
6	13	41	7	2025-09-01	1	3
7	13	89	7	2025-09-01	1	3
8	3	124	4	2025-09-01	1	3
9	17	175	4	2025-09-01	1	3
10	5	30	6	2025-09-01	1	3
11	3	175	6	2025-09-01	1	3
12	27	81	1	2025-09-01	1	3
13	10	182	3	2025-09-01	1	3
14	26	173	8	2025-09-01	1	3
15	28	47	7	2025-09-01	1	3
16	9	130	6	2025-09-01	1	3
17	26	182	1	2025-09-01	1	3
18	30	57	3	2025-09-01	1	3
19	17	94	2	2025-09-02	1	3
20	4	8	2	2025-09-02	1	3
21	23	171	2	2025-09-02	1	3
22	14	41	8	2025-09-02	1	3
23	4	43	5	2025-09-02	1	3
24	20	115	8	2025-09-02	1	3
25	20	13	6	2025-09-02	1	3
26	13	55	7	2025-09-02	1	3
27	11	192	8	2025-09-02	1	3
28	7	76	2	2025-09-02	1	3
29	29	140	3	2025-09-02	1	3
30	1	161	8	2025-09-02	1	3
31	10	45	6	2025-09-02	1	3
32	9	10	5	2025-09-02	1	3
33	8	31	8	2025-09-02	1	3
34	9	151	3	2025-09-02	1	3
35	16	184	3	2025-09-03	1	3
36	22	112	3	2025-09-03	1	3
37	3	46	9	2025-09-03	1	3
38	26	92	4	2025-09-03	1	3
39	30	193	8	2025-09-03	1	3
40	27	11	4	2025-09-03	1	3
41	14	182	7	2025-09-03	1	3
42	27	54	2	2025-09-03	1	3
43	16	160	3	2025-09-03	1	3
44	9	182	2	2025-09-03	1	3
45	1	97	9	2025-09-03	1	3
46	29	186	9	2025-09-03	1	3
47	23	122	9	2025-09-03	1	3
48	15	59	6	2025-09-03	1	3
49	1	134	8	2025-09-04	1	3
50	10	160	5	2025-09-04	1	3
51	10	1	4	2025-09-04	1	3
52	13	85	1	2025-09-04	1	3
53	20	80	6	2025-09-04	1	3
54	3	128	1	2025-09-04	1	3
55	17	93	4	2025-09-04	1	3
56	9	129	4	2025-09-04	1	3
57	30	98	2	2025-09-04	1	3
58	28	90	6	2025-09-04	1	3
59	27	96	2	2025-09-04	1	3
60	20	169	6	2025-09-04	1	3
61	1	24	7	2025-09-04	1	3
62	6	166	8	2025-09-04	1	3
63	7	168	5	2025-09-05	1	3
64	3	176	8	2025-09-05	1	3
65	25	76	9	2025-09-05	1	3
66	17	57	2	2025-09-05	1	3
67	6	168	7	2025-09-05	1	3
68	6	144	6	2025-09-05	1	3
69	15	153	1	2025-09-05	1	3
70	19	174	3	2025-09-05	1	3
71	24	66	9	2025-09-05	1	3
72	29	153	5	2025-09-05	1	3
73	1	82	1	2025-09-05	1	3
74	13	122	4	2025-09-05	1	3
75	15	100	2	2025-09-05	1	3
76	12	120	8	2025-09-05	1	3
77	9	112	2	2025-09-05	1	3
78	7	21	1	2025-09-05	1	3
79	22	86	4	2025-09-05	1	3
80	24	62	5	2025-09-05	1	3
81	1	112	9	2025-09-05	1	3
82	24	132	5	2025-09-05	1	3
83	23	73	5	2025-09-05	1	3
84	17	25	8	2025-09-05	1	3
85	12	166	5	2025-09-05	1	3
86	27	151	7	2025-09-06	1	3
87	21	42	7	2025-09-06	1	3
88	4	54	7	2025-09-06	1	3
89	20	179	7	2025-09-06	1	3
90	17	129	7	2025-09-06	1	3
91	9	136	3	2025-09-06	1	3
92	7	179	8	2025-09-06	1	3
93	3	17	6	2025-09-06	1	3
94	28	128	7	2025-09-06	1	3
95	4	155	7	2025-09-06	1	3
96	19	160	1	2025-09-06	1	3
97	6	23	1	2025-09-06	1	3
98	16	90	6	2025-09-06	1	3
99	10	151	4	2025-09-06	1	3
100	21	107	2	2025-09-06	1	3
101	25	32	5	2025-09-06	1	3
102	20	120	4	2025-09-06	1	3
103	5	40	3	2025-09-07	1	3
104	23	37	7	2025-09-07	1	3
105	20	70	1	2025-09-07	1	3
106	6	131	7	2025-09-07	1	3
107	13	132	1	2025-09-07	1	3
108	6	89	3	2025-09-07	1	3
109	1	51	6	2025-09-07	1	3
110	6	100	4	2025-09-07	1	3
111	16	50	9	2025-09-07	1	3
112	20	136	5	2025-09-07	1	3
113	22	114	4	2025-09-07	1	3
114	5	59	3	2025-09-07	1	3
115	1	71	3	2025-09-07	1	3
116	23	118	6	2025-09-08	1	3
117	23	140	8	2025-09-08	1	3
118	1	1	1	2025-09-08	1	3
119	20	186	1	2025-09-08	1	3
120	7	97	5	2025-09-08	1	3
121	19	147	2	2025-09-08	1	3
122	13	198	7	2025-09-08	1	3
123	26	3	7	2025-09-08	1	3
124	25	10	1	2025-09-08	1	3
125	21	113	7	2025-09-08	1	3
126	28	155	4	2025-09-08	1	3
127	29	156	4	2025-09-08	1	3
128	22	39	5	2025-09-08	1	3
129	3	162	3	2025-09-08	1	3
130	3	146	8	2025-09-08	1	3
131	24	133	4	2025-09-08	1	3
132	14	185	9	2025-09-08	1	3
133	8	27	2	2025-09-08	1	3
134	27	156	2	2025-09-08	1	3
135	4	120	9	2025-09-08	1	3
136	16	7	4	2025-09-09	1	3
137	1	8	7	2025-09-09	1	3
138	15	56	2	2025-09-09	1	3
139	10	193	7	2025-09-09	1	3
140	14	138	1	2025-09-09	1	3
141	13	54	6	2025-09-09	1	3
142	15	137	5	2025-09-09	1	3
143	12	178	7	2025-09-09	1	3
144	21	96	6	2025-09-09	1	3
145	15	53	9	2025-09-09	1	3
146	23	33	6	2025-09-09	1	3
147	27	70	9	2025-09-09	1	3
148	3	69	7	2025-09-09	1	3
149	22	66	1	2025-09-09	1	3
150	7	42	5	2025-09-09	1	3
151	4	33	9	2025-09-09	1	3
152	19	47	8	2025-09-09	1	3
153	13	183	8	2025-09-09	1	3
154	17	166	4	2025-09-09	1	3
