pno	pname	description	price	quantity	cno	img
1	즉석밥	전자레인지에 간편하게 조리할 수 있는 즉석밥입니다.	1500	46	1	
2	오트밀	아침식사 대용으로 좋은 고섬유질 오트밀입니다.	12900	16	1	
3	고구마칩	바삭하고 건강한 간식용 고구마칩입니다.	6900	23	1	
4	요거트	유산균이 풍부한 부드러운 플레인 요거트입니다.	4500	37	1	
5	과일믹스	다양한 과일을 담은 혼합 과일 세트입니다.	15900	11	1	
6	닭가슴살 스테이크	단백질이 풍부한 다이어트용 닭가슴살 스테이크입니다.	9900	44	1	
7	곡물바	에너지 보충에 좋은 건강한 곡물바입니다.	1500	40	1	
8	샐러드	신선한 채소로 구성된 간편한 샐러드입니다.	8800	13	1	
9	치킨너겟	아이들이 좋아하는 바삭한 치킨너겟입니다.	10900	32	1	
10	라면	얼큰하고 진한 국물맛의 인스턴트 라면입니다.	1200	3	1	
11	미역국	간편하게 데워 먹는 집밥 스타일 미역국입니다.	2200	18	1	
12	감자칩	담백하고 바삭한 감자 맛 스낵입니다.	1800	43	1	
13	햄 슬라이스	샌드위치나 반찬으로 활용하기 좋은 햄 슬라이스입니다.	5500	26	1	
14	두부	부드럽고 담백한 국산 콩 두부입니다.	2000	24	1	
15	컵밥	전자레인지에 돌려 간편하게 먹는 컵밥 제품입니다.	3500	2	1	
16	멸치볶음	고소하고 짭짤한 밥반찬용 멸치볶음입니다.	6600	3	1	
17	김치볶음밥	간편하게 조리 가능한 매콤한 김치볶음밥입니다.	6500	49	1	
18	장조림	반찬용으로 좋은 짭조름한 쇠고기 장조림입니다.	7900	2	1	
19	단호박죽	부드럽고 달콤한 맛이 특징인 단호박죽입니다.	6800	25	1	
20	과일잼	토스트에 바르기 좋은 달콤한 과일잼입니다.	13900	17	1	
21	샤프펜슬	부드럽게 써지는 정밀한 샤프펜슬입니다.	1000	40	2	
22	볼펜	오랫동안 끊김 없이 사용할 수 있는 유성 볼펜입니다.	2000	48	2	
23	색연필	다양한 색상이 포함된 24색 색연필 세트입니다.	2900	5	2	
24	형광펜	진한 색감과 부드러운 필기감을 자랑하는 형광펜입니다.	1700	46	2	
25	연필	부드러운 필기감과 단단한 심을 가진 2B 연필입니다.	800	10	2	
26	지우개	깨끗하게 지워지고 자국이 남지 않는 고무 지우개입니다.	500	42	2	
27	자	길이 측정과 선 그리기에 편리한 투명 자입니다.	1200	27	2	
28	스프링노트	메모와 필기에 적합한 스프링 타입 노트입니다.	1300	33	2	
29	스티커 메모지	알림용으로 붙이기 좋은 점착식 스티커 메모지입니다.	900	10	2	
30	파일 정리함	문서를 깔끔하게 보관할 수 있는 A4 사이즈 정리함입니다.	3400	5	2	
31	클립	종이를 손상 없이 고정할 수 있는 중형 클립 세트입니다.	300	5	2	
32	바인더	다량의 문서를 정리할 수 있는 2링 바인더입니다.	5500	38	2	
33	펜꽂이	책상 정리에 도움이 되는 다용도 펜꽂이입니다.	4200	24	2	
34	수정테이프	깨끗하게 수정 가능한 롤형 수정테이프입니다.	3000	4	2	
35	마커펜	포스터나 도표 작성에 적합한 굵은 마커펜입니다.	9000	23	2	
36	스탬프	간단한 표시를 위한 다양한 문양의 스탬프입니다.	3200	18	2	
37	형광스티커	눈에 잘 띄는 형광색으로 메모나 표시용으로 사용됩니다.	2500	19	2	
38	계산기	학습용으로 적합한 중형 디지털 계산기입니다.	5000	20	2	
39	공책	내구성이 뛰어난 표지의 100매 공책입니다.	1100	1	2	
40	도화지	미술 및 스케치용으로 적당한 질감의 A4 도화지입니다.	8300	1	2	
41	멀티탭	여러 전자기기를 동시에 연결할 수 있는 안전 멀티탭입니다.	18900	19	3	
42	정리함	다양한 물건을 깔끔하게 보관할 수 있는 다용도 정리함입니다.	11600	37	3	
43	휴지통	공간 절약형 디자인의 뚜껑 있는 휴지통입니다.	13100	7	3	
44	빨래바구니	이동이 편리한 손잡이형 대용량 빨래바구니입니다.	8000	29	3	
45	욕실화	미끄럼 방지 기능이 있는 EVA 소재 욕실 슬리퍼입니다.	2000	2	3	
46	수세미	주방 및 욕실 청소에 적합한 다용도 수세미입니다.	1500	15	3	
47	걸레	물기 흡수가 뛰어난 극세사 청소용 걸레입니다.	2500	12	3	
48	고무장갑	설거지나 청소에 적합한 튼튼한 고무장갑입니다.	3000	46	3	
49	행주	흡수력이 우수하고 위생적인 면 행주입니다.	2500	17	3	
50	물티슈	피부 자극 없이 사용할 수 있는 대용량 물티슈입니다.	1500	44	3	
51	식기건조대	주방 공간을 효율적으로 사용하는 2단 식기건조대입니다.	65000	48	3	
52	세탁망	옷 손상을 방지하는 고급 메시 재질 세탁망입니다.	8500	27	3	
53	우산	튼튼하고 바람에 강한 자동 개폐식 장우산입니다.	7000	49	3	
54	옷걸이	옷이 미끄러지지 않는 논슬립 옷걸이 세트입니다.	8800	18	3	
55	방충망	여름철 벌레 차단에 효과적인 탈부착식 방충망입니다.	25400	11	3	
56	청소솔	틈새 및 곰팡이 제거에 특화된 다용도 청소솔입니다.	1400	38	3	
