lno	title	contents	pdfnum	cno	student
1	01_노인과의이해	노인의 특성과 심리적 변화를 이해하는 기초 문제입니다.	1	1	1,3,5
2	02_장애인이해와지원	장애 유형별 특성과 지원 방법을 익히는 문제입니다.	2	1	1,7,12
3	03_의사소통기술	대상자와의 효과적인 소통 방법을 점검합니다.	3	1	1,3,5
4	04_생활지원사의역할과자세	생활지원사의 태도와 윤리, 기본 자세를 다룹니다.	4	1	1,9
5	05_노인의건강이해	노인성 질환 등 건강 특성을 묻는 문제입니다.	5	1	1,5,10,11
6	06_기초건강관리	혈압 측정 등 기본적인 건강 관리 내용을 포함합니다.	6	1	1,5,12
7	07_식사및위생지원	식사 보조와 위생 관리 관련 문제입니다.	7	1	1,5
8	08_낙상및안전관리	낙상 예방과 안전 환경 조성에 대한 문제입니다.	8	1	1,5
9	09_응급상황대처법	응급상황 발생 시 대처법을 묻는 문제입니다.	9	1	5
10	10_복지서비스의이해	노인돌봄 관련 복지제도를 점검하는 문제입니다.	10	1	5
11	11_노인복지관련법령	관련 법령에 대한 기초 지식을 점검합니다.	11	1	5
12	12_가정방문시유의사항	방문 예절과 기록 관리 등 실무 내용을 다룹니다.	12	1	5
13	13_사례중심문제풀이	실제 상황을 바탕으로 한 판단형 문제입니다.	13	1	5
14	14_OX문제모음	전 범위 핵심 내용을 OX로 복습합니다.	14	1	5
15	15_모의고사1회차	실전처럼 연습할 수 있는 종합 모의고사입니다.	15	1	5
16	16_모의고사2회차	다양한 유형이 포함된 추가 종합 연습 문제입니다.	16	1	5
17	간병사의 역할과 책임	간병사의 기본 역할과 책임을 이해하고 업무 범위를 익힙니다.	1	2	1,3,5
18	기본 간호 지식	간병사에게 필요한 기초 간호 지식을 학습합니다.	2	2	1,7,12
19	환자 이동 및 자세 변경	환자 안전을 위한 올바른 이동 및 자세 변경 방법을 익힙니다.	3	2	1,3,5
20	위생 및 감염관리	감염 예방과 개인 위생 관리에 필요한 지식을 배웁니다.	4	2	1,9,3,2
21	영양 및 식이관리	환자의 건강을 위한 영양 관리 및 식이 조절 방법을 다룹니다.	5	2	1,5,10,11,3
22	배설 관리	배설 활동 지원과 관련된 기술과 주의사항을 익힙니다.	6	2	1,5,12,3
23	약물 관리 기초	간병사로서 알아야 할 기본 약물 관리와 주의사항을 학습합니다.	7	2	1,5
24	응급 상황 대처	응급 상황 발생 시 적절한 대응 방법과 안전 관리법을 익힙니다.	8	2	1,5
25	의사소통 기술	환자 및 보호자와 효과적으로 소통하는 방법을 배웁니다.	9	2	3,5
26	정서적 지원과 심리관리	환자의 정서적 안정을 돕는 심리 지원 기술을 다룹니다.	10	2	3,5
27	노인 간병 특성	노인 대상 간병 시 고려해야 할 신체적·정신적 특성을 이해합니다.	11	2	3,5
28	장애인 간병 이해	장애인의 특성과 간병 방법에 대해 학습합니다.	12	2	3,5
29	재활 지원 및 운동 보조	재활 과정에서의 지원과 운동 보조 방법을 익힙니다.	13	2	3,5
30	안전 관리 및 사고 예방	사고를 예방하고 안전한 간병 환경을 조성하는 방법을 배웁니다.	14	2	3,5
31	윤리 및 인권	간병사로서 지켜야 할 윤리와 대상자의 인권 존중에 대해 다룹니다.	15	2	3,5
32	간병사 자기 관리 및 직업 윤리	건강한 직업 생활을 위한 자기 관리와 직업 윤리 의식을 학습합니다.	16	2	3,5
33	병원코디네이터의 역할과 업무	병원코디네이터의 주요 업무와 역할을 이해합니다.	1	3	1,5,3,7,9
34	의료기관 구조 및 조직 이해	병원의 조직 구조와 각 부서의 역할을 학습합니다.	2	3	1,5,2,4,6
35	환자 접수 및 예약 관리	환자 접수와 예약 업무의 절차를 익힙니다.	3	3	1,5,3,8,10
36	의료 정보 관리 시스템 활용	전자의무기록 등 의료 정보 시스템 사용법을 배웁니다.	4	3	1,5,4,7,11
37	고객 서비스 및 커뮤니케이션	환자와 원활한 소통 방법과 서비스 기술을 익힙니다.	5	3	1,5,6,9,12
38	환자 상담 및 문제 해결	상담 기술과 환자 문제 해결 방법을 배웁니다.	6	3	1,5,8,10,13
39	의료법 및 윤리 이해:	의료 관련 법률과 윤리 기준을 학습합니다.	7	3	1,5,2,11,14
40	의료 보험 및 청구 절차	의료 보험 적용과 청구 과정을 이해합니다.	8	3	1,5,3,6,15
41	의료 기록 관리	의료 기록의 중요성과 관리 방법을 익힙니다.	9	3	1,5,4,7,16
42	응급 상황 대응 및 대처	응급 상황 시 적절한 대응 방법을 배웁니다.	10	3	1,5,8,10,17
43	의료진 협력 및 팀워크	의료진과의 협력과 팀워크 중요성을 학습합니다.	11	3	1,5,9,12,18
44	환자 개인정보 보호	개인정보 보호법과 환자 정보 관리 방법을 배웁니다.	12	3	1,5,11,14,19
