rno	cno	uno	rtitle	rcontent	rdate	rstar	img
1	1	1	이번건 쉬웠는데 다음은 어떻게 풀어야 할까요?	문제 구성이 체계적이고 핵심을 잘 짚어주어 어려운 부분도 쉽게 이해할 수 있었습니다. 반복 학습에 큰 도움이 되어 자격증 취득까지 무리 없이 진행할 수 있었어요.	2025-05-30	4	3
2	15	8	현장감 잇는 강의였습니다.	실제 운동 처방 상황을 반영한 문제들이 많아 실전 감각을 키우는 데 매우 유익했습니다. 추가로 응용 문제도 포함되면 좋겠습니다.	2025-06-01	4	2
3	17	6	체계적인 강의 덕분에 합격할 수 있었습니다	난이도 조절이 잘 된 문제들 덕분에 점차 실력이 늘었고, 시험에서도 자신감을 가질 수 있었습니다. 덕분에 자격증도 무사히 취득했습니다!	2025-06-03	5	2
4	6	5	커피에 대한 이해가 깊어진 강의	문제들이 커피 맛 평가 기준을 잘 설명해주어 이해를 도왔습니다. 하지만 문제 유형이 좀 더 다양했으면 공부하는 재미가 더 있었을 것 같아요.	2025-06-07	3	4
5	17	4	실무에 바로 적용 가능한 강의였습니다	다양한 실무 상황을 반영한 문제들 덕분에 자격증 준비뿐 아니라 업무에도 큰 도움이 되었습니다. 문제별 해설도 좀 더 상세했으면 더 좋았을 것 같아요.	2025-06-08	5	4
6	1	2	기본기를 탄탄히 다질 수 있었어요	난이도 조절이 잘 된 문제들 덕분에 점차 실력이 늘었고, 시험에서도 자신감을 가질 수 있었습니다. 덕분에 자격증도 무사히 취득했습니다!	2025-06-16	5	2
7	10	3	기본기를 탄탄히 다질 수 있었어요	전문 용어와 개념을 잘 반영한 문제들이 많아서 이해가 쉬웠습니다. 다만, 실제 사례 중심 문제들이 더 추가되면 좋겠다는 생각이 듭니다.	2025-06-17	4	3
8	4	2	혁신적인 문제들이 인상적이었어요.	문제들이 실무에 직접 연결된 내용이라 실제 업무 이해에 큰 도움이 되었습니다. 다만 일부 문제는 더 다양한 난이도 구성이 있었으면 좋겠습니다.	2025-06-24	4	2
9	8	9	이해하기 쉬운 강의였습니다.	문제 구성이 명확하고 체계적이라 학습 효과가 높았습니다. 그러나 사례 문제가 좀 더 다양했으면 실제 업무 적응에 도움이 될 것 같아요.	2025-06-30	5	1
10	16	7	열정적인 수업이었어요.	강사님 덕분에 끝까지 포기하지 않고 공부할 수 있었습니다. 다만 수업 속도가 조금 빨라 따라가기가 힘들었어요.	2025-07-08	3	1
11	3	10	실습 중심 강의가 좋았습니다.	실습을 직접 해볼 수 있는 문제들이 많아 이해가 빠르고 자신감이 생겼습니다. 다만 문제 수가 많아 시간 배분에 신경 써야 했어요.	2025-09-03	4	1
