hno	name	x	y	time	cno
1	서울아산병원	286	289	09:00 AM ~ 10:00 PM	1,5,7
2	삼성서울병원	315	344	08:30 AM ~ 06:00 PM	3,5,9
3	서울대학교병원	229	300	09:00 AM ~ 09:00 PM	1,2,14
4	세브란스병원	278	146	10:00 AM ~ 05:00 PM	7,11,18
5	분당서울대학교병원	238	291	08:00 AM ~ 08:00 PM	6,13,20
6	강남세브란스병원	377	273	09:30 AM ~ 07:30 PM	1,4,22
7	아주대학교병원	217	251	07:00 AM ~ 11:00 PM	9,11
8	서울성모병원	451	406	09:00 AM ~ 06:00 PM	1,2,5
9	인하대학교병원	419	469	08:00 AM ~ 09:00 PM	1,16,37,46
10	경희대학교병원	408	327	09:00 AM ~ 08:00 PM	5,1,50
11	강북삼성병원	410	392	09:00 AM ~ 07:00 PM	21,23,11,23
12	건국대학교병원	420	236	10:00 AM ~ 08:00 PM	9,5,35
13	안암병원	464	221	08:30 AM ~ 05:30 PM	12,22,2,8
14	여의도성모병원	349	109	09:30 AM ~ 09:30 PM	24,39,19
15	중앙대학교병원	407	32	08:00 AM ~ 06:00 PM	14,47,7
16	이화여자대학교 서울병원	339	30	07:30 AM ~ 07:00 PM	34,6,40
17	전남대학교 화순병원	225	14	10:00 AM ~ 09:00 PM	7,47
18	대구가톨릭대학교병원	127	117	08:00 AM ~ 07:00 PM	10,43,49
19	충남대학교병원	59	103	09:00 AM ~ 09:30 PM	4,9,15
20	영남대학교병원	82	151	09:30 AM ~ 08:00 PM	29,44,36
21	동산의료원	91	223	08:30 AM ~ 08:00 PM	42,10,20
22	인천성모병원	84	293	09:00 AM ~ 10:00 PM	50,29
23	경희대학교 강동병원	107	333	10:00 AM ~ 06:00 PM	13,18,24,28
24	한림대학교 성심병원	92	439	09:00 AM ~ 06:30 PM	4,26,41
25	순천향대학교 서울병원	26	398	08:00 AM ~ 10:00 PM	17,16,18
26	한양대학교병원	16	270	09:00 AM ~ 09:00 PM	3,44
27	고려대학교 구로병원	27	172	07:00 AM ~ 08:00 PM	25,45,33
28	인제대학교 서울백병원	19	16	08:00 AM ~ 05:00 PM	19,27,32
29	순천향대학교 부천병원	99	21	09:30 AM ~ 06:30 PM	41,48,22
30	인제대학교 부산백병원	249	38	10:00 AM ~ 07:00 PM	35,39,49
31	한림대학교 동탄성심병원	148	392	08:30 AM ~ 09:00 PM	30,43,45
32	원광대학교병원	165	336	09:00 AM ~ 08:30 PM	20,32,37
33	경상국립대학교병원	214	293	09:30 AM ~ 07:00 PM	15,38,48
34	부산대학교병원	207	479	07:00 AM ~ 07:00 PM	3,5,15
35	전북대학교병원	270	377	09:00 AM ~ 10:30 PM	12,16,25
36	강동경희대학교병원	186	427	08:00 AM ~ 06:30 PM	14,20,37
37	순천향대학교 천안병원	364	411	10:00 AM ~ 05:30 PM	9,44,47
38	한림대학교 강남성심병원	464	447	09:30 AM ~ 09:00 PM	17,28,34
39	인제대학교 일산백병원	444	281	08:00 AM ~ 09:30 PM	22,31,40
40	이화여자대학교 목동병원	354	226	07:30 AM ~ 06:00 PM	24,27,41
41	경북대학교병원	379	295	09:00 AM ~ 07:30 PM	30,32
42	고려대학교 안산병원	450	182	08:00 AM ~ 08:30 PM	1,33,45
43	동아대학교병원	379	168	10:00 AM ~ 10:00 PM	18,19,23
44	충북대학교병원	294	148	09:30 AM ~ 10:00 PM	8,13,50
45	건양대학교병원	259	82	09:00 AM ~ 05:00 PM	29,39,46
46	원주세브란스기독병원	241	130	08:00 AM ~ 07:30 PM	3,6,21
47	울산대학교병원	179	217	09:00 AM ~ 06:00 PM	7,35,49
48	제주대학교병원	44	433	08:30 AM ~ 07:00 PM	10,11,38
49	강릉아산병원	298	464	10:00 AM ~ 08:30 PM	2,36,42
50	대전을지대학교병원	478	72	09:30 AM ~ 08:30 PM	4,26,43,48
