qno	que	ans
1	이 증상이 왜 생긴 건가요?	증상의 원인은 다양한 요인이 있어 정확한 검사가 필요합니다.
2	얼마나 심각한 건가요?	현재 상태로는 심각도를 판단하기 어려워 검사 결과를 보고 설명드리겠습니다.
3	이 병은 완치가 가능한가요?	병의 종류와 상태에 따라 완치 가능 여부가 달라집니다.
4	다른 합병증은 없을까요?	현재로선 합병증이 없으며 정기적인 관찰이 필요합니다.
5	비슷한 증상이 또 생기면 어떻게 해야 하나요?	증상이 재발하면 즉시 병원으로 방문해주시기 바랍니다.
6	어떤 검사를 해야 하나요?	정확한 진단을 위해 혈액검사와 영상검사를 진행할 예정입니다.
7	이 검사는 아픈가요?	검사는 대부분 큰 통증 없이 진행되며 불편함은 최소화하겠습니다.
8	검사 결과는 언제 나오나요?	검사 결과는 보통 1~3일 이내에 확인 가능합니다.
9	검사 전에 주의할 점이 있나요?	검사 전 금식이나 약물 조절이 필요한 경우 별도로 안내드리겠습니다.
10	결과가 안 좋으면 어떻게 하나요?	결과에 따라 추가 검사나 적절한 치료 방안을 안내드릴 예정입니다.
11	어떤 치료를 받아야 하나요?	병의 상태에 따라 약물치료, 시술, 수술 등이 있습니다.
12	약은 얼마나, 어떻게 먹어야 하나요?	약은 하루 3번 식후 복용하며 용법은 처방전으로 안내드리겠습니다.
13	부작용은 없나요?	가벼운 부작용이 있을 수 있으며 심할 경우 병원에 알려주시기 바랍니다.
14	이 치료를 꼭 받아야 하나요?	증상과 상태를 고려했을 때 권장되는 치료 방법입니다.
15	다른 방법은 없나요?	현재로선 가장 효과적인 방법이며 대안이 있으면 설명드리겠습니다.
16	식습관이나 운동은 어떻게 해야 하나요?	기름진 음식은 피하고 규칙적인 운동과 충분한 수면을 권장합니다.
17	술, 담배는 끊어야 하나요?	병의 진행을 막기 위해 금주와 금연을 권장합니다.
18	스트레스가 병에 영향을 주나요?	스트레스는 면역력과 회복에 영향을 주므로 관리가 필요합니다.
19	앞으로 어떤 점을 조심해야 하나요?	증상을 악화시키는 음식과 습관을 피하고 정기 검진을 받으세요.
20	수술은 꼭 해야 하나요?	증상의 정도와 상태에 따라 수술이 권장될 수 있습니다.
21	수술하면 회복 기간은 얼마나 걸리나요?	수술 방법에 따라 회복 기간이 다르며 보통 1~2주 소요됩니다.
22	위험성은 없나요?	모든 수술에는 위험이 있지만 최대한 안전하게 진행하겠습니다.
23	입원은 몇 일 정도 하나요?	상태에 따라 평균 3~5일 입원이 필요할 수 있습니다.
24	보호자는 어떻게 준비해야 하나요?	입원과 수술 준비물 및 절차를 보호자께 상세히 안내드리겠습니다.
25	치료비는 얼마나 나오나요?	치료비는 내용에 따라 달라지며 접수창구에서 안내받으실 수 있습니다.
26	보험 처리가 되나요?	대부분 보험 적용이 가능하며 보험사 확인이 필요합니다.
27	검사나 약값은 얼마나 드나요?	검사 종류와 약품에 따라 비용이 다르며 접수 시 안내드리겠습니다.
28	검사 전날 음식 조절이 필요한가요?	검사 종류에 따라 음식 조절이 필요한 경우 미리 안내드리겠습니다.
29	약을 먹다가 중단해도 되나요?	임의로 약을 중단하지 마시고 반드시 의사 상담 후 결정하세요.
30	임신 중인데 치료해도 괜찮나요?	임신 중에는 상태에 따라 치료 여부를 신중히 결정하게 됩니다.
31	수술하지 않고 치료할 수 있는 방법은 없나요?	병의 상태에 따라 비수술적 치료 방법도 함께 설명드리겠습니다.
32	재발 가능성이 있나요?	재발 가능성이 있어 정기적인 추적검사가 필요합니다.
33	치료를 받지 않으면 어떻게 되나요?	치료하지 않으면 증상이 악화되거나 합병증이 발생할 수 있습니다.
34	다른 병원에서도 진료를 받아볼 수 있나요?	원하시면 타 병원에서 진료를 받아보셔도 괜찮습니다.
35	치료 기간은 얼마나 걸리나요?	치료 기간은 병의 종류와 상태에 따라 달라집니다.
36	입원 준비물은 무엇을 가져가야 하나요?	입원 시 개인 세면도구와 실내복 등을 준비하시면 됩니다.
37	면회는 가능한가요?	병원 방침에 따라 면회 가능 여부를 안내드리겠습니다.
38	수술 부위 흉터는 많이 남나요?	수술 부위에 따라 흉터가 남을 수 있으나 최소화하도록 하겠습니다.
39	통증은 어느 정도인가요?	수술 후 통증은 약물로 조절 가능하며 심할 경우 추가 조치하겠습니다.
40	운동을 언제부터 해도 되나요?	수술 또는 치료 후 상태에 따라 운동 가능 시점을 안내드리겠습니다.
41	약을 먹고 운전해도 되나요?	약 복용 시 졸림이나 어지러움이 있을 수 있으니 주의하세요.
42	진료는 예약해야 하나요?	진료 예약은 가능하며, 대기시간 단축을 위해 권장드립니다.
43	응급상황 시 어떻게 해야 하나요?	응급 시에는 즉시 병원 응급실로 방문해주시기 바랍니다.
44	결과 확인은 전화로도 가능한가요?	결과 확인은 병원 정책에 따라 전화 상담 여부를 안내드리겠습니다.
45	다른 가족도 같이 검사받을 수 있나요?	가족분들도 필요 시 검사를 함께 진행할 수 있습니다.
46	치료 중에도 일상생활이 가능한가요?	치료 중에도 일상생활은 가능하며 무리한 활동은 삼가주세요.
47	다른 약과 함께 복용해도 되나요?	복용 중인 다른 약이 있다면 반드시 알려주시기 바랍니다.
48	치료 후에 주의할 점이 있나요?	치료 후에는 감염 예방과 충분한 휴식을 취해주셔야 합니다.
49	검사 비용은 어느 정도인가요?	검사 비용은 종류에 따라 다르며 접수창구에서 안내드리겠습니다.
50	치료받으면 바로 효과가 나타나나요?	치료 효과는 개인 상태와 치료 방법에 따라 차이가 있으며, 일부는 즉시 호전되기도 하고 일정 기간이 필요한 경우도 있습니다.
