reno	date	uno	dno
1	2025-10-05	1	1
2	2025-11-18	2	2
3	2026-01-23	5	3
4	2025-12-09	1	5
5	2026-02-14	8	4
6	2025-10-29	4	5
7	2026-03-05	9	6
8	2025-11-03	1	8
9	2026-04-18	55	7
10	2025-12-22	12	8
11	2026-01-10	24	9
12	2025-10-12	1	11
13	2026-05-30	1	11
14	2025-11-27	22	10
15	2026-02-05	98	11
16	2025-12-14	72	12
17	2025-10-21	1	15
18	2026-03-12	2	13
19	2026-01-03	2	14
20	2025-11-10	2	15
21	2026-04-01	1	18
22	2025-12-03	1	20
23	2026-02-25	3	16
24	2025-10-16	4	16
25	2026-05-12	7	17
26	2025-11-20	7	21
27	2026-03-22	1	22
28	2025-12-29	9	20
29	2026-01-15	1	30
30	2026-04-09		
