ano	aname	adetail
1	배달의민족 앱으로 3,000원 할인 받는 방법!	배민 꿀팁 대방출! 앱으로 주문하면 3,000원 즉시 할인! 오늘 저녁 뭐 먹을지 고민 끝!
2	삼성 스마트워치, 당신의 건강을 더 스마트하게 관리하세요!	운동 기록? 수면 패턴? 삼성 스마트워치로 내 건강 상태 실시간 확인! 스마트하게 관리 시작! 손목 위에서 내 건강 정보를 간편하게 확인해요.
3	네이버 웹툰, 지금 바로 최신 웹툰 챙기기!	오늘자 네이버 웹툰 봤어? 출퇴근/등하굣길 필수! 지금 바로 앱 켜고 최신화 확인! 매일 업데이트되는 재미있는 웹툰을 놓치지 마세요.
4	쿠팡에서 오늘의 핫딜, 최대 50% 할인!	쿠팡 왔어요~ 오늘의 핫딜! 최대 50% 할인? 이건 못 참지! 지금 바로 확인해! 득템 기회!
5	카카오게임즈, 모바일에서 실시간 게임 진행하기!	언제 어디서든 게임? 카카오게임즈 앱 켜면 실시간 대전 시작! 친구들과 함께 즐겨봐! 모바일로 간편하게 접속해서 재미있는 게임을 즐기세요.
6	네이버 쇼핑, 오늘만 무료 배송! 지금 바로 쇼핑하세요.	네이버 쇼핑 딱 대! 오늘만 무료 배송 실화? 필요한 거 있었다면 지금이 기회! 장바구니 채우러 가자!
7	카카오맵으로 더 빠르고 정확한 길찾기!	카카오맵 하나면 초행길도 문제없어! 더 빠르고 정확하게 도착! 약속 시간 안 늦는 비법!
8	스카이스캐너 앱으로 저렴한 항공권을 찾아보세요!	여행 가고 싶은데 비행기 값이 부담돼? 스카이스캐너 앱으로 최저가 항공권 검색! 합리적인 가격으로 꿈꾸던 여행을 시작하세요.
9	스마트홈, 구글 어시스턴트로 집을 더 스마트하게!	퇴근 전에 집을 쾌적하게? 스마트홈 구글 어시스턴트로 말 한마디면 끝! 외출 중에도 집 안 상태를 확인하고 제어하며 편리하게 생활하세요.
10	에버랜드 앱으로 실시간 대기시간 확인하고 빠르게 즐기기!	에버랜드 눈치게임 성공? 앱으로 대기시간 확인하고 인기 어트랙션 빠르게 즐겨봐! 스마트하게 에버랜드를 즐기는 방법!
11	G마켓 앱에서 매일 열리는 특가 이벤트 놓치지 마세요!	G마켓 앱 켤 때마다 심쿵! 매일 다른 특가 이벤트! 필요한 게 있다면 무조건 G마켓 먼저 확인!
12	유튜브 프리미엄, 광고 없이 영상 편리하게 즐기기!	영상 볼 때 광고 스킵? 유튜브 프리미엄은 광고 제로! 끊김 없이 편리하게 즐겨봐. 좋아하는 크리에이터 영상에 집중하고 싶은 당신에게 딱!
13	네이버 뮤직, 최신 음악을 손쉽게 찾아서 즐기기!	요즘 뜨는 노래 궁금해? 네이버 뮤직에서 바로 찾아 듣자! 최신곡부터 명곡까지! 네이버 뮤직 앱으로 다양한 음악을 손쉽게 감상하세요.
14	젠하이저 헤드폰, 최상의 음질을 직접 경험해 보세요.	진짜 음악 감상 시작! 젠하이저 헤드폰 끼는 순간 콘서트장으로! 최상의 사운드 경험. 고품질 음향으로 음악에 몰입해 보세요.
15	라인 앱으로 친구들과 실시간으로 영상 통화하기!	라인 앱으로 해외 친구랑 얼굴 보며 대화! 실시간 영상 통화 끊김 없이 고화질로 즐겨봐!
16	카카오뱅크로 더 빠르고 간편한 금융 관리 시작!	카카오뱅크 앱 하나로 통장 관리, 이체 끝! 복잡한 금융 이제 안녕! 빠르고 간편하게 관리 시작!
17	애플워치로 건강 관리, 운동 기록을 스마트하게!	애플워치 차고 운동했더니 기록이 알아서 척척! 건강 관리? 스마트하게 시작해봐!
18	네이버 페이로 더 똑똑한 결제, 혜택까지 챙기기!	네이버 페이로 결제했더니 포인트가 쌓이네? 혜택까지 야무지게 챙기는 똑똑한 소비!
19	토스 앱으로 손쉽게 송금하고 다양한 혜택 받기!	토스 앱 켜면 송금 3초컷! 수수료는 당연히 무료! 은행 앱 켤 필요 없이 토스로 간편하게! 송금
20	온라인 쇼핑, 현대백화점 모바일 앱에서만 즐길 수 있는 특별한 할인!	현대백화점 앱 깔면 특별한 할인 쿠폰 와르르! 온라인 쇼핑도 백화점 퀄리티로 우아하게!
21	스타벅스 앱으로 편리하게 주문하고 커피 1+1 혜택 받기!	스타벅스 앱 켜는 순간, 커피 한 잔 더! 오늘 친구랑 같이 즐겨봐!
22	스마트한 쇼핑, 현대카드 앱으로 혜택 2배 누리기!	쇼핑할 때 현대카드 앱 켜봐! 할인, 적립, 쿠폰까지! 혜택 2배로 스마트하게! 현대카드 앱으로 알뜰한 쇼핑을 즐겨보세요.
23	트위터 앱으로 실시간 뉴스와 소식을 놓치지 마세요!	지금 세상 무슨 일? 트위터 앱 켜면 실시간 속보! 가장 빠른 정보 습득! 궁금한 소식을 트위터에서 빠르게 확인하세요.
