apno	jno	apdate	uno	apok
1	1	2025-03-01	1	1
2	16	2025-03-01	13	1
3	27	2025-03-02	2	1
4	15	2025-03-02	25	1
5	34	2025-03-02	2	0
6	1	2025-03-03	75	1
7	52	2025-03-03	81	1
8	2	2025-03-03	11	1
9	41	2025-03-04	26	1
10	12	2025-03-05	19	0
11	68	2025-03-06	74	1
12	32	2025-03-06	1	0
13	5	2025-03-06	35	1
14	1	2025-03-06	32	1
15	16	2025-03-06	78	1
16	6	2025-03-07	93	1
17	36	2025-03-07	47	0
18	34	2025-03-08	25	1
19	63	2025-03-09	83	1
20	27	2025-03-09	7	1
21	4	2025-03-09	98	1
22	56	2025-03-09	96	1
23	18	2025-03-10	75	1
24	3	2025-03-10	41	0
25	1	2025-03-10	4	1
26	31	2025-03-11	70	1
27	13	2025-03-12	16	1
28	34	2025-03-14	34	0
29	19	2025-03-15	2	1
30	1	2025-03-15	99	1
31	2	2025-03-15	90	1
32	19	2025-03-15	83	1
33	10	2025-03-16	4	0
34	30	2025-03-16	28	1
35	21	2025-03-16	87	1
36	42	2025-03-16	42	1
37	1	2025-03-17	98	1
38	57	2025-03-17	53	1
39	81	2025-03-17	72	1
40	26	2025-03-18	44	1
41	17	2025-03-18	85	1
42	55	2025-03-18	63	0
43	5	2025-03-19	49	1
44	50	2025-03-19	90	1
45	91	2025-03-20	52	0
46	7	2025-03-20	40	1
47	42	2025-03-20	72	1
48	1	2025-03-20	4	1
49	37	2025-03-21	61	1
50	99	2025-03-21	73	1
51	2	2025-03-21	52	0
52	52	2025-03-22	52	1
53	53	2025-03-23	30	1
54	21	2025-03-23	98	1
55	43	2025-03-23	48	1
56	58	2025-03-23	50	1
57	142	2025-03-24	34	1
58	45	2025-03-24	29	1
59	39	2025-03-26	61	1
60	30	2025-03-26	89	1
61	170	2025-03-27	93	1
62	82	2025-03-27	14	0
63	99	2025-03-27	31	1
64	139	2025-03-29	18	1
65	148	2025-03-29	100	1
66	9	2025-03-29	45	1
67	47	2025-03-30	31	1
68	180	2025-03-30	58	1
69	187	2025-03-30	68	0
70	20	2025-03-30	4	1
71	85	2025-04-01	35	1
72	143	2025-04-01	3	1
73	189	2025-04-01	38	1
74	82	2025-04-01	16	0
75	4	2025-04-02	10	1
76	21	2025-04-02	23	1
77	42	2025-04-02	61	0
78	140	2025-04-02	43	1
79	6	2025-04-02	57	1
80	33	2025-04-02	4	0
81	79	2025-04-02	50	1
82	88	2025-04-02	76	1
83	24	2025-04-03	75	0
84	30	2025-04-03	28	1
85	13	2025-04-03	26	1
86	24	2025-04-03	62	1
87	3	2025-04-04	59	1
88	25	2025-04-04	1	1
89	50	2025-04-04	25	1
90	46	2025-04-04	83	0
91	41	2025-04-05	27	1
92	45	2025-04-05	40	1
93	17	2025-04-06	71	1
94	53	2025-04-06	53	1
95	74	2025-04-06	62	0
96	45	2025-04-08	3	1
97	17	2025-04-09	77	1
98	3	2025-04-10	91	0
99	7	2025-04-11	77	1
100	198	2025-04-11	27	1
101	77	2025-04-11	45	1
102	3	2025-04-12	54	1
103	16	2025-04-12	13	1
104	25	2025-04-12	90	1
105	98	2025-04-12	94	1
106	54	2025-04-12	96	1
107	13	2025-04-13	51	1
108	27	2025-04-13	91	1
109	179	2025-04-13	37	1
110	90	2025-04-13	24	1
111	75	2025-04-14	90	1
112	125	2025-04-15	23	1
113	59	2025-04-15	53	1
114	57	2025-04-15	4	1
115	59	2025-04-15	26	1
116	96	2025-04-16	61	1
117	153	2025-04-17	91	0
118	8	2025-04-17	83	1
119	22	2025-04-17	76	1
120	35	2025-04-17	97	1
121	51	2025-04-17	92	1
122	20	2025-04-18	71	1
123	132	2025-04-18	92	0
124	69	2025-04-18	51	1
125	84	2025-04-18	62	1
126	18	2025-04-19	9	0
127	191	2025-04-19	41	1
128	192	2025-04-19	30	1
129	16	2025-04-19	64	1
130	84	2025-04-20	16	1
131	36	2025-04-20	13	1
132	193	2025-04-21	19	1
133	15	2025-04-21	16	1
134	40	2025-04-21	31	1
135	65	2025-04-21	58	0
136	91	2025-04-22	48	1
137	8	2025-04-23	88	1
138	26	2025-04-24	13	1
139	83	2025-04-24	72	0
140	55	2025-04-25	49	1
141	23	2025-04-26	98	1
142	19	2025-04-27	9	1
143	78	2025-04-27	55	1
144	8	2025-04-28	97	1
145	4	2025-04-28	26	0
146	87	2025-04-28	64	0
147	48	2025-04-28	29	1
148	64	2025-04-28	70	1
149	90	2025-04-28	5	1
150	69	2025-04-29	9	1
151	35	2025-04-29	36	1
152	2	2025-04-30	79	1
153	176	2025-04-30	36	1
154	43	2025-05-01	83	1
155	54	2025-05-01	21	0
156	206	2025-05-02	77	0
157	58	2025-05-02	12	0
158	137	2025-05-03	96	1
159	71	2025-05-04	3	1
160	48	2025-05-04	1	1
161	15	2025-05-05	85	1
162	2	2025-05-05	16	1
163	39	2025-05-05	20	1
164	138	2025-05-06	97	1
165	73	2025-05-06	73	1
166	60	2025-05-07	64	1
167	2	2025-05-07	20	1
168	60	2025-05-07	70	1
169	100	2025-05-08	89	1
170	44	2025-05-08	2	1
171	63	2025-05-08	15	1
172	2	2025-05-11	59	1
173	219	2025-05-11	49	1
174	69	2025-05-11	12	1
175	204	2025-05-12	46	1
176	61	2025-05-12	49	0
177	65	2025-05-13	90	0
178	81	2025-05-13	26	0
179	9	2025-05-14	74	1
180	3	2025-05-14	6	1
181	201	2025-05-14	79	1
182	2	2025-05-14	37	1
183	70	2025-05-14	3	1
184	3	2025-05-15	13	1
185	5	2025-05-16	64	1
186	32	2025-05-17	64	1
187	133	2025-05-17	1	1
188	72	2025-05-17	26	1
189	74	2025-05-17	88	0
190	78	2025-05-18	24	1
191	1	2025-05-18	20	0
192	93	2025-05-19	67	1
193	71	2025-05-19	75	0
194	27	2025-05-19	100	1
195	53	2025-05-19	26	1
196	68	2025-05-19	33	1
197	141	2025-05-20	74	1
198	188	2025-05-20	64	1
199	44	2025-05-20	24	1
200	1	2025-05-20	77	1
201	70	2025-05-20	27	0
202	85	2025-05-20	4	0
203	51	2025-05-21	48	1
204	32	2025-05-21	56	1
205	84	2025-05-21	55	0
206	173	2025-05-22	21	1
207	64	2025-05-23	75	1
208	190	2025-05-23	13	0
209	76	2025-05-23	21	1
210	97	2025-05-23	97	0
211	3	2025-05-23	38	0
212	130	2025-05-24	34	0
213	202	2025-05-24	41	0
214	34	2025-05-24	32	0
215	41	2025-05-24	63	0
216	72	2025-05-24	72	0
217	80	2025-05-24	85	1
218	87	2025-05-24	52	1
219	61	2025-05-25	41	0
220	89	2025-05-25	94	0
221	62	2025-05-25	32	0
222	52	2025-05-26	94	0
223	178	2025-05-26	55	1
224	62	2025-05-26	86	1
225	92	2025-05-26	76	1
226	76	2025-05-27	3	0
227	135	2025-05-28	1	0
228	44	2025-05-29	92	0
229	98	2025-05-29	100	0
230	1	2025-05-29	24	0
231	25	2025-05-29	45	0
232	49	2025-06-01	31	0
233	18	2025-06-01	99	1
234	80	2025-06-02	89	0
235	101	2025-06-03	57	0
236	40	2025-06-03	81	0
237	95	2025-06-04	63	0
238	39	2025-06-04	82	0
239	73	2025-06-05	2	0
240	49	2025-06-06	74	0
241	79	2025-06-06	55	0
242	149	2025-06-06	32	0
243	177	2025-06-06	37	0
244	1	2025-06-06	25	0
245	18	2025-06-07	27	0
246	24	2025-06-07	30	0
247	115	2025-06-08	90	1
248	27	2025-06-08	60	0
249	127	2025-06-09	60	1
250	214	2025-06-10	2	1
251	37	2025-06-10	12	1
252	77	2025-06-10	23	1
253	75	2025-06-10	16	1
254	52	2025-06-11	81	1
255	35	2025-06-12	86	0
256	55	2025-06-12	84	0
257	205	2025-06-13	61	0
258	65	2025-06-13	85	1
259	124	2025-06-15	30	0
260	79	2025-06-15	82	0
261	56	2025-06-16	50	1
262	95	2025-06-16	2	0
263	100	2025-06-16	94	0
264	82	2025-06-17	60	0
265	94	2025-06-17	23	0
266	120	2025-06-18	56	0
267	175	2025-06-18	83	0
268	105	2025-06-19	66	0
269	208	2025-06-20	9	0
270	10	2025-06-20	92	0
271	51	2025-06-20	21	0
272	47	2025-06-20	61	1
273	36	2025-06-21	26	0
274	116	2025-06-21	31	0
275	37	2025-06-22	56	1
276	33	2025-06-23	54	0
277	66	2025-06-23	9	0
278	83	2025-06-23	51	0
279	78	2025-06-23	79	1
280	181	2025-06-24	21	0
281	209	2025-06-24	26	0
282	220	2025-06-24	61	0
283	31	2025-06-24	53	0
284	68	2025-06-24	33	0
285	94	2025-06-25	91	0
286	218	2025-06-25	10	0
287	67	2025-06-25	34	0
288	23	2025-06-25	59	0
289	32	2025-06-25	48	0
290	71	2025-06-25	9	1
291	86	2025-06-25	18	1
292	74	2025-06-26	74	0
293	47	2025-06-27	82	0
294	2	2025-06-28	76	0
