bno	bname	cno	bxx	byy
1	CGV	7	190	194
2	스타벅스	2	222	255
3	교보문고	8	122	152
4	에버랜드	6	9	472
5	올리브영	5	146	297
6	메가박스	7	378	254
7	이디야	2	335	255
8	롯데월드	6	23	16
9	GS25	3	269	344
10	나이키	5	224	297
11	CU	3	469	303
12	롯데시네마	7	369	125
13	투썸플레이스	2	380	325
14	카카오프렌즈	10	556	226
15	빽다방	2	281	295
16	파리바게뜨	2	479	125
17	이마트24	3	93	88
18	세븐일레븐	3	178	338
19	미니스톱	3	275	417
20	이마트	3	417	442
21	홈플러스	3	493	163
22	롯데마트	3	245	461
23	코스트코	3	47	42
24	맥도날드	1	197	146
25	버거킹	1	290	118
26	KFC	1	363	374
27	맘스터치	1	446	240
28	써브웨이	1	317	208
29	배스킨라빈스	2	432	138
30	던킨도너츠	2	478	211
31	크리스피크림도넛	2	446	379
32	파스쿠찌	2	167	451
33	엔제리너스	2	286	444
34	할리스커피	2	372	175
35	탐앤탐스	2	178	115
36	폴바셋	2	152	362
37	공차	2	253	347
38	컴포즈커피	2	185	239
39	메가커피	2	208	232
40	아티제	2	210	286
41	뚜레쥬르	2	269	95
42	서울랜드	6	276	383
43	한국민속촌	6	353	336
44	오션월드	6	348	78
45	캐리비안베이	6	6	486
46	롯데아울렛	3	233	351
47	현대백화점	3	345	418
48	신세계백화점	3	381	403
49	갤러리아백화점	3	344	470
50	AK플라자	3	408	487
51	NC백화점	3	416	73
52	ABC마트	3	123	440
53	스파오	5	350	398
54	탑텐	5	286	134
55	유니클로	5	274	192
56	자라	5	164	163
57	H&M	5	229	150
58	에잇세컨즈	5	230	148
59	롭스	5	136	85
60	랄라블라	5	189	30
61	아리따움	5	278	76
62	이니스프리	5	345	108
63	에뛰드하우스	5	410	273
64	더페이스샵	5	439	317
65	네이처리퍼블릭	5	303	437
66	토니모리	5	84	199
67	스킨푸드	5	116	132
68	미샤	5	133	127
69	다이소	3	118	426
70	아트박스	8	181	280
71	핫트랙스	8	428	51
72	영풍문고	8	142	262
73	반디앤루니스	8	198	161
74	알라딘	8	263	239
75	예스24	8	236	315
76	쿠팡	9	15	298
77	마켓컬리	9	4	317
78	배달의민족	9	256	428
79	요기요	9	565	341
80	쿠팡이츠	9	461	447
81	G마켓	9	42	467
82	옥션	9	35	71
83	11번가	9	530	20
84	위메프	9	252	4
85	티몬	9	430	20
86	CJ대한통운	9	112	466
87	롯데택배	9	135	368
88	한진택배	9	172	469
89	로젠택배	9	15	358
90	우체국	9	44	55
91	GS Postbox	9	56	12
92	CU Post	9	548	38
93	아디다스	5	253	202
94	뉴발란스	5	314	169
95	푸마	5	313	303
96	휠라	5	394	304
97	씨네큐브	7	136	387
98	하얏트	4	157	216
99	래디슨 호텔 그룹	4	8	180
100	인터컨티네탈 호텔 그룹	4	26	384
101	노스페이스	5	293	171
102	디스커버리익스페디션	5	263	45
103	내셔널지오그래픽	5	224	93
104	K2	5	167	315
105	아이더	5	200	358
106	블랙야크	5	378	219
107	동대문엽기떡볶이	1	319	108
108	명랑핫도그	1	358	96
109	쥬씨	2	379	52
110	롤링파스타	1	134	228
111	역전우동0410	1	144	55
112	한솥도시락	1	167	42
113	아르떼뮤지엄	7	214	476
114	뮤지엄다	7	373	478
115	샐러디	1	155	140
116	죠스떡볶이	1	87	127
117	국수나무	1	74	135
118	김밥천국	1	112	173
119	롯데리아	1	95	252
120	설빙	2	232	117
121	빕스	1	257	73
122	아웃백스테이크하우스	1	368	30
123	쿠우쿠우	1	90	55
124	애슐리	1	432	362
125	모던하우스	3	409	333
126	반스	5	523	325
127	닥터마틴	5	541	284
128	호텔신라	4	520	107
129	롯데호텔	4	480	89
130	조선호텔앤리조트	4	502	30
131	켄싱턴호텔앤드리조트	4	504	228
132	한화호텔앤드리조트	4	455	77
133	대명소노그룹	4	64	99
134	신라스테이	4	502	256
135	롯데시티호텔	4	396	22
136	대림미술관	7	442	283
137	빈폴	5	414	198
138	헤지스	5	538	177
139	닥스	5	501	362
140	메리어트 인터내셔널	4	60	416
141	힐튼 월드와이드	4	296	229
142	서가앤쿡	1	469	353
143	KT&G 상상마당	7	349	290
144	아크앤북	7	303	477
145	SK주유소	10	444	190
146	GS칼텍스	10	536	351
147	S-OIL	10	317	34
148	현대오일뱅크	10	359	139
149	커피빈	2	516	399
150	카페베네	2	517	72
