jno	jname	bno	jmoney	jpeople	jday	jtime	jwork	jgrade
1	영화 덕후들 주목! CGV 미소지기 팀원 모집! 주/야간 선택!	1	11000	3	4	3	1	0
2	가까워서 최고! GS25 평일/주말 야간 알바 구함! (초보 가능)	9	11000	2	3	5	1	2
3	죠스떡볶이 '매콤달콤 떡볶이 장인' 모집! 조리/판매! 떡볶이 덕후 우대!	116	12000	2	2	7	0	0
4	켄싱턴호텔앤드리조트에서 휴식을 선물할 직원을 모집합니다!	131	15000	4	5	8	1	1
5	뷰티와 건강을 함께하는 올리브영에서 밝은 에너지를 가진 직원을 찾습니다.	5	14000	5	4	5	1	0
6	파스쿠찌에서 고급 커피와 디저트를 제공할 바리스타를 모집합니다.	32	15000	1	4	4	1	1
7	알바 구함! 아트박스에서 귀여운 소품 만지기!	70	15000	4	3	3	1	1
8	알바 구해요! 배스킨라빈스에서 달콤한 미소!	29	14000	4	2	5	0	2
9	이마트24에서 유쾌한 분위기 속에 고객을 맞이할 직원을 모집합니다!	17	13000	1	3	8	0	1
10	11번가에서 쇼핑 트렌드를 이끌 'MD 어시스턴트' 찾아요! 열정적인 신입 환영!	83	12000	3	3	3	0	1
11	에버랜드 '환상의 순간' 함께 만들 캐스트 모집! (특별한 유니폼 착용!)	4	14000	6	2	6	1	0
12	시원함이 최고! 오션월드 라이프가드 및 시설 관리 알바 모집! 여름 알바 추천!	44	13000	4	4	5	0	1
13	갤러리아백화점에서 프리미엄 쇼핑을 선도할 직원을 모집합니다.	49	15000	5	3	3	0	2
14	컴포즈커피에서 고객과 소통하며 함께 일할 직원을 찾습니다.	38	13000	5	2	3	1	0
15	없는 거 빼고 다 판다! 쿠팡 물류센터 알바 모집! 단기/장기 가능!	76	15000	1	1	7	0	1
16	이디야 '우리 동네 커피 친구' 스태프 구함! (가까워서 출퇴근 편함!)	7	14000	5	5	4	1	1
