rno	ono	rating
1	325	2.5
2	148	5
3	266	0
4	228	0
5	311	1.5
6	362	4.5
7	128	3.5
8	370	4
9	161	0.5
10	237	0.5
11	87	1
12	94	2.5
13	186	2
14	296	0
15	30	1
16	268	4
17	207	1.5
18	228	4.5
19	259	2.5
20	344	1
21	399	0
22	27	1.5
23	277	4
24	292	3
25	305	5
26	265	1.5
27	99	0
28	389	1
29	202	3.5
30	366	4.5
31	244	2
32	163	3
33	268	0
34	28	1.5
35	55	0
36	284	2
37	392	4
38	313	0
39	296	3.5
40	185	1
41	194	2.5
42	258	1
43	302	4
44	50	4.5
45	179	1.5
46	238	2
47	182	4.5
48	211	4
49	205	1.5
50	91	1
51	332	0
52	319	2
53	219	1
54	336	4
55	69	2.5
56	117	4.5
57	5	2.5
58	88	2
59	24	2.5
60	256	5
61	89	1.5
62	230	4.5
63	160	3.5
64	138	4
65	111	0
66	345	3.5
67	230	0
68	123	0.5
69	15	2.5
70	105	2.5
71	364	3.5
72	1	4.5
73	231	3.5
74	293	1
75	170	4
76	319	4
77	132	4.5
78	292	0
79	67	1.5
80	46	1
81	270	4.5
82	52	5
83	394	0.5
84	97	2
85	88	0.5
86	151	4.5
87	255	2
88	19	1.5
89	14	2.5
90	350	2.5
91	354	2.5
92	95	4.5
93	133	0
94	372	2
95	356	2
96	40	3.5
97	84	3.5
98	183	0.5
99	22	0.5
100	73	0.5
