crno	cno	uno	start_date	rate
1	1	7	2025-05-18	1,2,3
2	3	3	2025-09-02	1 
3	4	1	2025-09-03	1,2,3
4	6	2	2025-09-04	1 
5	4	10	2025-09-03	1,2,3
6	6	4	2025-09-04	1 
7	6	4	2025-09-01	1 
8	8	9	2025-09-02	1 
9	8	3	2025-09-03	1,2
10	8	4	2025-09-04	1,2,3,4
11	8	6	2025-09-01	1,2,3,4,5,6,7,8,9,10
12	8	8	2025-09-02	1,2,3
13	8	10	2025-09-03	1,2,3,4,5,6,7,8
14	11	2	2025-09-04	1,2,3
15	11	3	2025-09-01	1,2,3
16	11	4	2025-09-02	1,2,3
17	11	5	2025-09-03	1,2,3
18	11	6	2025-09-04	1,2,3
19	12	1	2025-09-24	1,2,3
20	12	8	2025-09-02	1,2,3
21	12	8	2025-09-03	1,2,3
22	12	8	2025-09-04	1,2,3
23	8	8	2025-09-02	1,2,3
24	11	5	2025-09-03	1,2,3
25	8	8	2025-09-02	1,2,3
26	6	4	2025-09-04	1 
27	8	8	2025-09-02	1,2,3
28	8	8	2025-09-02	1,2,3
29	3	2	2025-08-16	5,6,10
30	11	6	2025-09-04	1,2,3
31	8	10	2025-09-07	1,2,5
32	3	7	2025-08-16	5,6,10
33	3	10	2025-08-16	5,6,10
