pno	name	x	y
1	한빛약국	315	232
2	늘푸른약국	249	226
3	해맑은약국	321	359
4	한림약국	247	324
5	조은약국	205	257
6	동부약국	297	400
7	마디약국	129	124
8	금강약국	354	101
9	중앙약국	427	378
10	백합약국	409	233
11	건강약국	406	24
12	신세계약국	230	23
13	사랑약국	101	27
14	청풍약국	8	19
15	삼호약국	21	195
16	한결약국	81	443
17	동양약국	115	333
18	늘봄약국	168	455
19	세움약국	362	419
20	우정약국	377	291
21	대성약국	81	286
22	이든약국	308	451
23	명성약국	414	476
24	주은약국	460	231
25	백년약국	89	158
26	천하약국	52	86
27	동신약국	25	401
28	밝은약국	22	273
29	새날약국	384	180
30	우림약국	230	158
31	아름약국	354	31
32	서광약국	287	124
33	해온약국	155	378
34	청송약국	258	477
35	일심약국	476	267
36	꽃길약국	470	63
37	국화약국	287	32
38	강남약국	133	62
39	소망약국	28	31
40	고향약국	26	142
41	새벽약국	88	401
42	제일약국	138	224
43	명품약국	232	397
44	참사랑약국	480	395
45	성원약국	465	461
46	청아약국	474	152
47	열린약국	420	321
48	든든약국	375	452
49	금빛약국	200	212
50	은하약국	100	89
