cno	send	take	talk	date
1	1	2	안녕하세요!	2025-09-12
2	2	1	네, 안녕하세요~	2025-09-12
3	1	2	관심 있어서 연락드렸어요~	2025-09-12
4	2	1	아ㅎㅎ 감사합니다^^	2025-09-12
5	1	2	뭐하고 계세요?	2025-09-12
6	2	1	저 방금 운동하고 왔어요.	2025-09-12
7	1	2	헉 무슨 운동하세요?	2025-09-12
8	2	1	헬스랑 수영을 주로 해요.	2025-09-12
9	2	1	혹시 좋아하는 운동 있으세요?	2025-09-12
10	1	2	저도 수영 즐겨해요	2025-09-13
11	2	1	오~ 저랑 잘 맞으시네요!	2025-09-13
12	2	1	시간 되시면 같이 수영해요.	2025-09-13
13	1	2	좋아요!	2025-09-13
14	2	1	언제 시간 되세요?	2025-09-13
15	8	1	안녕하세요.	2025-09-05
16	1	8	안녕하세요^^	2025-09-05
17	8	1	저는 카페 매니저로 일하는 한예준이라고 합니다~	2025-09-05
18	1	8	아~ 반가워요!	2025-09-05
19	8	1	예쁘셔서 연락 드렸어요.	2025-09-05
20	1	8	감사합니다ㅎㅎ	2025-09-05
21	8	1	주말에 뭐 하세요?	2025-09-05
22	14	1	안녕하세요!	2025-08-18
23	14	1	저랑 잘 맞으실 거 같아서 연락드렸어요.	2025-08-18
24	21	1	민서님 안녕하세요~	2025-08-21
25	4	1	안녕하세요!	2025-09-02
26	1	4	네, 안녕하세요~	2025-09-02
27	4	1	프로필 보고 관심 생겨서 연락드렸어요~	2025-09-02
28	1	4	아ㅎㅎ 감사합니다^^	2025-09-02
29	4	1	혹시 취미가 뭐예요?	2025-09-02
30	1	4	저 요즘 캠핑에 빠졌어요!	2025-09-02
31	4	1	오 캠핑 어디로 자주 가세요?	2025-09-02
32	1	4	강릉이나 가평 쪽 자주 가요~	2025-09-02
33	4	1	혹시 카페 좋아하세요?	2025-09-02
34	1	4	네! 디저트 카페 좋아해요~	2025-09-02
35	4	1	영화 좋아하세요?	2025-09-02
36	1	4	네! 액션영화 진짜 좋아해요!	2025-09-03
37	4	1	시간 되시면 영화 같이 보실래요?	2025-09-03
38	12	1	안녕하세요.	2025-09-07
39	1	12	네~	2025-09-07
40	12	1	마음에 들어서 연락드렸어요~	2025-09-07
41	12	1	주말에는 주로 뭐하세요?	2025-09-07
42	45	1	안녕하세요^^	2025-08-11
43	1	45	네~ 안녕하세요.	2025-08-11
44	45	1	친해지고 싶어서 연락드렸어요.	2025-08-11
45	45	1	MBTI가 뭐예요?	2025-08-11
46	1	45	저는 INFJ예요ㅎㅎ	2025-08-11
47	45	1	오~ 잘 맞는 조합이에요!	2025-08-11
48	45	1	혹시 지금 카톡 가능하세요?	2025-08-12
49	49	1	안녕하세요.	2025-08-12
50	49	1	뭐하고 계세요?	2025-08-12
