Lno	sno	pno	x	y	start_date	end_date
1	1	1	386	173	2025-09-03	2025-09-11
2	1	2	358	74	2026-01-21	2026-02-18
3	1	3	219	76	2025-12-27	2026-02-10
4	1	4	166	30	2025-09-28	2025-11-21
5	1	6	530	123	2025-09-05	2025-09-18
6	1	7	389	79	2026-01-01	2026-01-14
7	2	1	400	167	2026-02-14	2026-03-03
8	2	2	432	99	2025-08-01	2025-08-05
9	2	5	301	170	2025-11-10	2025-11-17
10	3	1	299	134	2025-12-18	2025-12-24
11	3	5	429	158	2025-09-19	2025-09-25
12	3	6	298	65	2025-09-09	2025-10-10
13	3	7	439	70	2024-12-20	2024-12-26
14	3	8	106	106	2025-11-29	2025-12-07
15	4	1	336	168	2025-09-20	2025-09-30
16	4	3	413	111	2025-08-08	2025-08-15
17	4	6	263	62	2026-01-27	2026-02-04
18	4	7	162	64	2025-08-08	2025-08-17
19	4	8	174	169	2025-07-10	2025-07-18
20	5	3	217	205	2025-10-05	2025-10-30
21	5	4	360	62	2025-06-01	2025-06-12
22	5	6	305	191	2026-02-14	2026-02-21
23	5	7	109	81	2025-08-08	2025-08-16
24	5	8	129	171	2026-01-12	2026-01-18
25	1	1	386	173	2025-07-17	2025-07-27
26	1	2	358	74	2026-02-23	2026-03-05
27	1	3	219	76	2025-12-12	2025-12-22
28	1	4	166	30	2025-12-03	2025-12-20
29	1	6	530	123	2025-12-22	2025-12-30
30	1	7	389	79	2025-06-01	2025-06-11
31	2	1	400	167	2025-11-11	2025-11-22
32	2	2	432	99	2025-06-04	2025-07-16
33	2	5	301	170	2025-07-07	2025-09-27
34	3	1	299	134	2025-06-16	2025-06-26
35	3	5	429	158	2025-11-28	2025-12-08
36	3	6	298	65	2025-07-30	2025-08-26
37	3	7	439	70	2025-06-16	2025-06-26
38	3	8	106	106	2025-11-13	2025-11-23
39	4	1	336	168	2025-06-16	2025-06-22
40	4	3	413	111	2026-02-07	2026-02-17
41	4	6	263	62	2025-09-07	2025-09-17
42	4	7	162	64	2025-12-24	2026-01-03
43	4	8	174	169	2025-07-14	2025-08-16
44	5	3	217	205	2025-08-10	2025-08-21
45	5	4	360	62	2026-01-13	2026-01-23
46	5	6	305	191	2026-01-30	2026-02-09
47	5	7	109	81	2026-01-02	2026-01-12
48	5	8	129	171	2025-06-24	2025-07-04
49	1	1	386	173	2025-11-03	2026-06-22
50	1	2	358	74	2025-06-06	2025-11-29
51	1	3	219	76	2025-11-09	2026-06-22
52	1	4	166	30	2025-12-07	2026-04-06
53	1	6	530	123	2025-03-14	2026-04-14
54	1	7	389	79	2025-10-02	2025-12-11
55	2	1	400	167	2025-10-13	2025-12-28
56	2	2	432	99	2025-11-19	2026-05-05
57	2	5	301	170	2025-09-24	2025-10-04
58	3	1	299	134	2025-08-17	2026-01-11
59	3	5	429	158	2025-11-04	2026-03-04
60	3	6	298	65	2025-06-06	2025-07-11
61	3	7	439	70	2025-06-27	2026-05-25
62	3	8	106	106	2025-02-01	2026-07-19
63	4	1	336	168	2025-04-02	2026-06-06
64	4	3	413	111	2025-08-04	2025-10-27
65	4	6	263	62	2025-08-29	2025-09-20
66	4	7	162	64	2025-06-04	2025-06-17
67	4	8	174	169	2025-07-19	2025-08-03
68	5	3	217	205	2025-07-16	2025-07-26
69	5	4	360	62	2025-10-14	2025-11-23
70	5	6	305	191	2025-11-08	2025-12-02
71	5	7	109	81	2025-06-27	2026-07-10
72	5	8	129	171	2026-01-06	2026-01-27
73	6	5	231	65	2025-03-01	2025-03-30
74	6	7	254	241	2025-07-05	2025-08-20
75	6	8	524	217	2025-06-08	2025-09-19
