i_no	i_name	p_no
1	상추	1
2	배추	1
3	양배추	1
4	시금치	1
5	양상추	1
6	아스파라거스	1
7	양파	1
8	마늘	1
9	무	1
10	당근	1
11	감자	1
12	우엉	1
13	연근	1
14	도라지	1
15	고구마	1
16	생강	1
17	머위	1
18	쑥갓	1
19	두릅	1
20	쌀	2
21	보리	2
22	밀	2
23	조	2
24	콩	2
25	수수	2
26	기장	2
27	찹쌀	2
28	옥수수	2
29	팥	2
30	녹두	2
31	귀리	2
32	메밀	2
33	아마란스	2
34	사과	3
35	배	3
36	감	3
37	포도	3
38	딸기	3
39	복숭아	3
40	자두	3
41	매실	3
42	자몽	3
43	귤	3
44	오렌지	3
45	레몬	3
46	블루베리	3
47	산딸기	3
48	아보카도	3
49	참다래	3
50	참외	3
51	수박	3
52	키위	3
53	무화과	3
54	모과	3
55	파인애플	3
56	청포도	3
57	황도	3
58	용과	3
59	망고	3
60	청귤	3
61	구아바	3
62	체리	3
63	닭고기	4
64	오리고기	4
65	소고기	4
66	양고기	4
67	돼지고기	4
