pr_no	u_no	i_no	pr_des	pr_stock	pr_price	pr_date
1	4	47	산에서 따서 그런지 수분이 많고 달고 맛있어요!	33	35000	2025-09-25
2	8	20	우리가 어떤 민족입니까? 바로 밥에 민족이죠!	34	5200	2025-09-15
3	1	28	당연하지만 직접 키워 맛있는 옥수수 쪄서 먹어보세요!	43	9100	2025-09-10
4	1	2	싱싱한 배추 한번 사서 먹어보세요!	41	11500	2025-09-13
5	6	16	생강은 향긋하고 매운 맛이 특징인 뿌리채소로, 요리와 약재로 널리 사용되며 소화와 혈액 순환에 도움을 줍니다.	44	9200	2025-09-16
6	6	55	어머니 혹시 파인애플도 같이?	5	6000	2025-09-16
7	2	8	한국인이 좋아할 싱싱한 마늘이 왔어요!	15	8800	2025-09-21
8	8	59	망고 먹으면서 생각했어, 내가 이렇게 달콤한 건... 아마 망고 덕분일 거야	27	18900	2025-09-11
9	5	3	위장 건강과 암에 좋은 양배추 효능이 너무 좋아요!	35	9800	2025-09-19
10	9	4	어린 아이들에게 성장하는데 필요한 모든 성분이 들어있어요!	18	9500	2025-09-16
11	1	38	딸기딸기딸기딸기딸기	40	27000	2025-09-21
12	7	1	저녁에 고기와 함께 싸먹어 보세요!	38	12800	2025-09-11
13	5	4	싱싱하고 친화적으로 키운 시금치	16	9800	2025-09-14
14	6	37	우리집 포도는 달고 씨가 없어요!	24	11300	2025-09-14
15	4	65	구워서 먹으면 정말 맛있는 1++등급 고기입니다!	35	69900	2025-09-25
16	5	32	메밀로 다양한 요리를 만들어 보세요	32	9600	2025-09-15
17	8	44	렌지는 달콤하고 상큼한 맛을 가진 과일로, 비타민 C가 풍부하여 면역력 강화에 도움을 줍니다. 생으로 먹거나 주스, 샐러드 등 다양한 요리에 활용됩니다.	18	10500	2025-09-15
18	2	12	우엉으로 차 한번 먹어보세요! 정말 맛있어요!	13	8800	2025-09-15
19	8	61	구아바는 달콤하고 상큼한 맛을 가진 열대 과일로, 비타민 C와 항산화 물질이 풍부합니다. 생으로 먹거나 주스, 잼, 디저트 등에 활용됩니다.	50	103000	2025-09-13
20	10	62	체리는 달콤하고 상큼한 맛을 가진 과일로, 비타민 C와 항산화 물질이 풍부해 건강에 좋습니다.	20	41000	2025-09-23
21	4	10	눈에도 좋고 변비 개선에 좋은 당근!	29	5700	2025-09-15
22	3	19	두릅을 물에 대쳐서 초고추장에 찍어먹으면 정말 맛있어요!!!	49	27000	2025-09-24
23	7	45	이봐, 친구! 그거 알아? 레몬 한 개엔 자그마치 레몬 네 개 분량의 비타민 C가 있다는 놀라운 사실을!	27	9300	2025-09-25
24	4	62	체리는 뇌의 기능을 강화해 주고 숙면에 도움을 주는 맛있고 건강한 과일입니다.	8	35700	2025-09-12
25	1	8	고기와 함께 먹으면 너무 맛있어요	33	8000	2025-09-17
26	2	38	과일은 역시 달디단 딸기~	14	31000	2025-09-21
27	1	23	쌀과 함께 밥을 지어 맛있게 드셔보세요!	29	19000	2025-09-20
28	5	66	양고기를 요리해 저녁식사에 맛있게 먹어보세요! 	18	30000	2025-09-12
29	9	27	찹쌀로 떡을 만든 다음에 콩가루를 묻혀 인절미를 먹어보는것은 어떤가요?	47	6700	2025-09-13
30	3	34	싱싱한 사과~! 달고 맨들맨들한 사과~! 사과가 왔어요!	44	10000	2025-09-22
31	9	13	연근은 아삭한 식감과 특유의 향을 가진 뿌리채소로, 비타민 C와 식이섬유가 풍부하여 면역력 강화와 소화에 도움을 줍니다. 주로 찜, 볶음, 전, 샐러드 등에 활용되며, 혈액 순환과 피로 회복에도 효과적입니다.	20	8900	2025-09-21
