pu_no	pr_no	u_no	pu_num
1	36	10	1
2	38	3	3
3	45	4	4
4	6	7	1
5	58	4	7
6	35	3	6
7	36	9	5
8	9	2	2
9	84	2	1
10	67	9	4
11	31	1	8
12	83	5	2
13	8	8	6
14	78	7	2
15	42	1	8
16	78	4	8
17	60	8	1
18	30	3	8
19	24	3	2
20	27	10	5
21	35	6	1
22	56	4	7
23	11	2	6
24	26	7	8
25	77	2	7
26	68	5	7
27	96	6	8
28	99	9	8
29	86	5	4
30	53	6	3
31	75	6	2
32	18	6	2
33	57	5	3
34	4	9	2
35	87	3	6
36	87	9	3
37	12	7	8
38	65	8	4
39	53	4	2
40	85	6	8
41	64	9	3
42	94	8	2
43	61	4	3
44	49	10	3
45	22	2	2
46	53	8	1
47	29	10	5
48	35	1	2
49	66	2	8
50	83	7	1
51	73	8	5
52	28	9	4
53	54	3	1
54	24	1	6
55	71	9	6
56	82	1	6
57	91	6	3
58	75	7	5
59	50	10	8
60	50	2	7
61	73	6	5
62	24	8	7
63	61	1	2
64	44	10	2
65	41	3	7
66	26	4	1
67	92	10	1
68	11	8	2
69	33	7	3
70	69	7	3
71	93	1	7
72	8	2	7
73	52	10	4
74	72	3	6
75	42	5	1
76	50	4	8
77	72	5	1
78	32	5	5
79	43	5	4
