p_no	p_name	p_open	p_close	p_holiday	p_star	p_visits	p_heart	x	y
1	그린 약국	8:30	18:30	화	4.5	450	2,17,29,8	327	511
2	행복한 약국	9:00	17:00	수,목	4.7	380	22,6	620	401
3	웰니스 약국	8:00	20:00	월,수	4.3	290	41,3,10,25,12	135	298
4	힐링 터치 약국	10:00	19:00	월	4.8	510	18,39,11	283	620
5	케어웰 약국	9:30	17:30	화,목	4.2	150	1	452	697
6	밝은 미래 약국	9:00	18:00	금	4.6	320	14,42,4	601	210
7	신뢰 약국	8:30	15:30	화,일	4.9	480	15,38,48	709	109
8	편안한 삶 약국	9:00	16:00		4.4	230	5,32	390	305
9	모두의 약국	10:00	18:30	일	4.1	190	49,28,30	580	334
10	건강한 길 약국	8:00	20:00		4.7	300	33,21	215	468
11	안전한 피난처 약국	9:30	19:30	화,수	4.6	410	44,40	477	667
12	자연의 선물 약국	10:00	17:00		4.5	450	7,36,46	693	382
13	당신의 건강 약국	8:30	18:00	월,화	4.3	280	9,19,16	564	274
14	더 나은 날 약국	9:00	18:30	금,토	4.8	550	24,35	187	685
15	안전한 약국	10:00	19:00	월,목	4.2	200	26,50	308	212
16	활력 약국	8:00	20:00	수,금	4.9	500	43,45	694	604
17	평화로운 약국	9:00	17:00	목	4.1	170	12,34,23	442	540
18	치유 약국	8:30	18:30	월,화,일	4.6	360	20,2,27	339	109
19	총체적 건강 약국	10:00	15:30	화,금	4.4	220	3,13	508	677
20	행복한 약국	9:30	18:00		4.5	430	37,47,8	141	600
21	햇살 약국	8:00	20:00	화,목	4.3	310	10,14	325	342
22	진정한 약국	9:00	17:00	월,수	4.6	490	38,29	685	288
23	가족 약국	10:00	19:00		4.7	370	15,14,48	174	459
24	편안한 약국	8:30	18:30	화	4.2	150	41	488	516
25	따뜻한 약국	9:00	17:30	수	4.8	520	26,39	227	531
26	토탈 헬스 약국	10:00	18:00	화,금,일	4.5	400	46,45,8	363	628
27	케어 플러스 약국	8:00	20:00	월,화,수	4.6	300	11,50,5	616	337
