rv_no	re_no	rv_review	rv_star
1	11	진료도 빨라서 편리했습니다.	1.1
2	15	의사 선생님이 친절하게 상담해 주셔서 마음이 편해졌습니다.	1.7
3	23	예약 시스템이 상세하고 기다림 없이 진료받아 좋았습니다.	1.5
4	27	응급실이 체계적이고 추천드리고 싶은 병원입니다.	4.9
5	28	직원들이 모두 친절하게 대해주어서 기분이 좋았습니다.	1.2
6	30	의사 선생님이 정돈되어 있고 설명도 잘 해주셔서 이해가 쉬웠습니다.	2.6
7	31	접수 과정이 체계적이고 만족스러운 진료를 받을 수 있었습니다.	0.2
8	33	간호사 분이 신속하고 불편함 없이 치료를 받았습니다.	4.9
9	34	예약 시스템이 전문적이고 기분 좋게 병원을 이용할 수 있었습니다.	0.1
10	46	간호사 분이 정확하고 환자 입장에서 배려해주셔서 감사합니다.	1.2
11	47	매우 친절한 의사 선생님 덕분에 안심하고 진료를 받을 수 있었습니다.	3
12	48	전반적으로 만족스러웠지만, 상담이 부족한 느낌이었습니다.	3.8
13	53	응급실이 전문적이고 기분 좋게 병원을 이용할 수 있었습니다.	0.3
14	54	의료진이 친절하고 상담도 상세하게 해주셔서 좋았습니다.	3.8
15	64	병원 분위기가 깔끔하고 만족스러운 진료를 받을 수 있었습니다.	4.4
16	65	의사 선생님이 친절하고 상담이 도움이 되었습니다.	1.1
17	72	대기시간이 상세하고 만족스러운 진료를 받을 수 있었습니다.	4.9
18	79	응급실이 편안하고 추천드리고 싶은 병원입니다.	1.7
19	89	검사 과정이 신속하고 불편함 없이 치료를 받았습니다.	4
20	90	의사 선생님이 매우 친절하고 이해가 잘 되도록 설명해주셨어요.	2.3
21	103	예약 시스템이 빠르고 불편함 없이 치료를 받았습니다.	4.6
22	106	진료실이 전문적이고 환자 입장에서 배려해주셔서 감사합니다.	0.1
23	108	진료가 좋았지만, 상담 시간이 부족했습니다.	2.8
24	113	아늑하고 편안한 상담이 좋았습니다. 추천합니다!	3
25	117	접수 과정이 매우 친절하고 기다림 없이 진료받아 좋았습니다.	1.1
26	121	병원 분위기가 편안하고 기분 좋게 병원을 이용할 수 있었습니다.	4
27	122	진료는 좋았습니다.	4.1
28	125	상담을 통해 많은 정보를 얻었고, 진료도 훌륭했습니다.	3.6
29	130	접수 과정이 깔끔하고 기분 좋게 병원을 이용할 수 있었습니다.	3.8
30	132	진료실이 상세하고 믿음이 가는 병원입니다.	1.5
31	142	진료실이 매우 친절하고 설명도 잘 해주셔서 이해가 쉬웠습니다.	4.6
32	148	빠른 진료 덕분에 큰 도움이 되었습니다.	0.5
33	151	친절한 진료가 매우 좋았습니다.	1
34	159	진료실이 매우 친절하고 기다림 없이 진료받아 좋았습니다.	4
35	162	의사 선생님이 매우 친절하셨고, 진료가 효과적이었습니다.	4.1
36	166	의사 선생님이 친절하게 대해주셔서 기분이 좋았습니다.	0.2
37	169	진료가 원활하게 진행되어서 만족스러운 경험이었습니다.	3.9
38	171	의료진 전체가 체계적이고 불편함 없이 치료를 받았습니다.	2.2
39	172	응급실이 편안하고 믿음이 가는 병원입니다.	2
40	173	응급실이 전문적이고 진심으로 감사드립니다.	4.1
41	177	검사 과정이 상세하고 추천드리고 싶은 병원입니다.	3.7
42	180	병원 분위기가 정확하고 진심으로 감사드립니다.	0.2
43	185	전반적으로 좋았지만 상담 시간이 부족했습니다.	3.6
44	186	빠르고 친절한 진료 덕분에 기분이 좋아졌습니다.	4.2
45	189	치료는 좋았지만, 상담 시간이 아쉬웠습니다.	4.3
46	202	진료실이 빠르고 기다림 없이 진료받아 좋았습니다.	4.6
47	203	직원들의 친절도가 아쉬웠고 상담 시간이 짧았습니다.	0.3
48	205	간호사 분이 빠르고 기분 좋게 병원을 이용할 수 있었습니다.	1.8
49	206	병원 분위기가 매우 친절하고 설명도 잘 해주셔서 이해가 쉬웠습니다.	4.6
50	209	간호사 분이 정확하고 불편함 없이 치료를 받았습니다.	1.1
51	228	간호사 분이 신속하고 설명도 잘 해주셔서 이해가 쉬웠습니다.	4
52	229	치료는 좋았지만, 직원들이 조금 불친절했습니다.	0.5
53	238	친절하고 신속한 진료 덕분에 매우 만족했습니다.	1.5
54	242	의료진 전체가 전문적이고 추천드리고 싶은 병원입니다.	4.4
55	243	병원 분위기가 상세하고 믿음이 가는 병원입니다.	0.9
56	245	접수 과정이 정돈되어 있고 추천드리고 싶은 병원입니다.	3.3
57	249	치료가 효과적이었고, 직원들이 매우 친절했습니다.	3.7
58	250	대기시간이 전문적이고 다음에도 다시 방문하고 싶습니다.	1.7
59	254	의료진 전체가 전문적이고 환자 입장에서 배려해주셔서 감사합니다.	4.4
60	256	빠르고 친절한 진료가 좋았습니다.	1
61	258	치료 후 기분이 좋아졌습니다.	0.5
62	260	예약 시스템이 매우 친절하고 다음에도 다시 방문하고 싶습니다.	4
63	262	응급실이 깔끔하고 불편함 없이 치료를 받았습니다.	4.5
64	263	의료진 전체가 깔끔하고 다음에도 다시 방문하고 싶습니다.	1.3
65	264	분위기가 좋았지만, 진료 시간이 너무 짧았습니다.	3
66	266	진료실이 빠르고 불편함 없이 치료를 받았습니다.	4.6
67	270	대기 없이 바로 진료를 받을 수 있어 좋았습니다.	2.7
68	271	응급실이 체계적이고 진심으로 감사드립니다.	4
69	285	진료실이 전문적이고 진심으로 감사드립니다.	4.4
70	288	병원 분위기가 상세하고 진심으로 감사드립니다.	2.4
71	293	의료진 전체가 편안하고 기다림 없이 진료받아 좋았습니다.	1.4
72	294	응급실이 편안하고 설명도 잘 해주셔서 이해가 쉬웠습니다.	4.4
73	295	응급실이 신속하고 다음에도 다시 방문하고 싶습니다.	1.2
74	298	대기시간이 상세하고 추천드리고 싶은 병원입니다.	0.2
75	299	간호사 분이 체계적이고 믿음이 가는 병원입니다.	4.7
76	300	응급실이 정확하고 추천드리고 싶은 병원입니다.	5
77	302	상담이 유익했고, 진료도 훌륭했습니다.	0.8
78	307	예약 시스템이 깔끔하고 추천드리고 싶은 병원입니다.	1.9
79	308	진료도 빠르고 친절했습니다.	1.7
80	309	의사 선생님이 체계적이고 믿음이 가는 병원입니다.	2
81	311	예약 시스템이 상세하고 기분 좋게 병원을 이용할 수 있었습니다.	0.3
82	314	신뢰할 수 있는 진료 덕분에 안심이 되었습니다.	4.2
83	329	간호사 분이 빠르고 믿음이 가는 병원입니다.	2.7
84	332	자세한 설명 덕분에 이해하기 쉬웠어요. 감사합니다!	1
85	336	의료진 전체가 빠르고 기분 좋게 병원을 이용할 수 있었습니다.	2.4
86	342	의사 선생님이 전문적이고 다음에도 다시 방문하고 싶습니다.	1.8
87	344	예약 시스템이 깔끔하고 다음에도 다시 방문하고 싶습니다.	3.1
